2025-11-24,E-TRANSFER ***J5Q,,60,256.8
2025-11-24,UBER CANADA/UBE   _V,50.29,,206.51
2025-11-24,SEND E-TFR ***Bu7,120,,86.51
2025-11-24,PIZZA NOVA 324    _F,15.01,,71.5
2025-11-24,E-TFR ***gdr EPAY,,1040,1111.5
2025-11-24,RW042 TFR-TO 6125141,50,,1061.5
2025-11-24,SEND E-TFR ***qtD,1000,,61.5
2025-11-26,E-TRANSFER ***mXp,,15.87,77.37
2025-11-26,SUBWAY 23824      _F,20.67,,56.7
2025-11-27,UBER CANADA/UBE   _V,31.7,,25
2025-11-28,UBER CANADA/UBE   _V,23.29,,1.71
2025-11-28,JW101 TFR-FR 6125141,,9.5,11.21
2025-11-28,MONTHLY ACCOUNT FEE,17.95,,-6.74
2025-11-28,CHQ RETURN FEE,2,,-8.74
2025-12-01,E-TRANSFER ***6nJ,,40,31.26
2025-12-01,APPLE.COM/BILL    _V,6.76,,24.5
2025-12-01,NSLSC            MSP,127.94,,-103.44
2025-12-02,RTN NSF,,127.94,24.5
2025-12-02,NSF RETURN FEE,48,,-23.5
2025-12-08,TD ATM DEP    000736,,300,276.5
2025-12-08,SEND E-TFR ***s7W,200,,76.5
2025-12-08,NSLSC            MSP,127.94,,-51.44
2025-12-09,RTN NSF,,127.94,76.5
2025-12-09,NSF RETURN FEE,48,,28.5
2025-12-10,E-TRANSFER ***BMJ,,700,728.5
2025-12-10,Uber Holdings C   _V,24.19,,704.31
2025-12-11,SEND E-TFR ***FPb,282.5,,421.81
2025-12-11,UBER CANADA/UBE   _V,44.7,,377.11
2025-12-11,UBER CANADA/UBE   _V,26.44,,350.67
2025-12-12,E-TFR ***7Um EPAY,,500,850.67
2025-12-12,UBER CANADA/UBE   _V,34.95,,815.72
2025-12-12,SEND E-TFR ***EMq,60,,755.72
2025-12-12,UBER CANADA/UBE   _V,6.01,,749.71
2025-12-12,UBER CANADA/UBE   _V,26.56,,723.15
2025-12-12,SEND E-TFR ***Qw6,300,,423.15
2025-12-12,UBER CANADA/UBE   _V,,26.44,449.59
2025-12-12,Uber Holdings C   _V,107.51,,342.08
2025-12-15,SEND E-TFR ***cyz,150,,192.08
2025-12-15,E-TRANSFER ***VGt,,15,207.08
2025-12-15,SEND E-TFR ***ah8,110,,97.08
2025-12-15,UBER CANADA/UBE   _V,24.29,,72.79
2025-12-15,UBER CANADA/UBE   _V,29.35,,43.44
2025-12-15,UBER CANADA/UBE   _V,6.79,,36.65
2025-12-15,TD ATM DEP    003205,,535,571.65
2025-12-15,SEND E-TFR ***3sN,315,,256.65
2025-12-15,SHOPPERS DRUG M   _F,3.9,,252.75
2025-12-15,OSMOW'S BROOKLI   _F,20.33,,232.42
2025-12-15,LCBO/RAO #0237    _F,5.85,,226.57
2025-12-15,UBER * PENDING    _V,9.37,,217.2
2025-12-15,SEND E-TFR ***gKD,100,,117.2
2025-12-15,SEND E-TFR ***cP2,20,,97.2
2025-12-15,UBER CANADA/UBE   _V,36.18,,61.02
2025-12-15,VESTA  *CHATR     _V,45.2,,15.82
2025-12-15,E-TRANSFER ***ARE,,100,115.82
2025-12-15,VESTA  *CHATR     _V,39.55,,76.27
2025-12-15,Uber Holdings C   _V,43.58,,32.69
2025-12-16,E-TRANSFER ***VQR,,240,272.69
2025-12-16,WJ372 TFR-TO C/C,134,,138.69
2025-12-16,WJ375 TFR-TO C/C,57,,81.69
2025-12-16,WJ301 TFR-TO C/C,32,,49.69
2025-12-16,Uber Holdings C   _V,24.79,,24.9
2025-12-17,EMPL INS         EI,,2110,2134.9
2025-12-17,UBER CANADA/UBE   _V,24.81,,2110.09
2025-12-17,APPLE.COM/BILL    _V,14.68,,2095.41
2025-12-17,Uber Holdings C   _V,,24.79,2120.2
2025-12-17,TSI INTERNET      _V,114.07,,2006.13
2025-12-17,SEND E-TFR ***nr6,600,,1406.13
2025-12-17,SEND E-TFR ***hft,100,,1306.13
2025-12-18,TD VISA      Z9J9Z5,6.1,,1300.03
2025-12-18,SEND E-TFR ***5h3,240,,1060.03
2025-12-18,UBER CANADA/UBE   _V,46.47,,1013.56
